case,block_bytes,blocks,ops,mode,tile_bytes,median_ms,logical_gib,memory_gib_3stream,gib_per_s,checksum
mtu1280,1280,32768,262144,untiled,0,16.272207,0.312500,0.937500,57.614,0xceb0883adbc09620
mtu1280,1280,32768,262144,tiled,16384,16.374362,0.312500,0.937500,57.254,0xceb0883adbc09620
mtu1280,1280,32768,262144,tiled,32768,16.417617,0.312500,0.937500,57.103,0xceb0883adbc09620
mtu1280,1280,32768,262144,tiled,65536,16.484297,0.312500,0.937500,56.872,0xceb0883adbc09620
mtu1280,1280,32768,262144,tiled,131072,16.446050,0.312500,0.937500,57.005,0xceb0883adbc09620
mtu1280,1280,32768,262144,tiled,262144,16.448784,0.312500,0.937500,56.995,0xceb0883adbc09620
mtu1280,1280,32768,262144,tiled,524288,16.440952,0.312500,0.937500,57.022,0xceb0883adbc09620
kib100,102400,2048,16384,untiled,0,66.882558,1.562500,4.687500,70.086,0xc32478af63ed1e97
kib100,102400,2048,16384,tiled,16384,52.064789,1.562500,4.687500,90.032,0xc32478af63ed1e97
kib100,102400,2048,16384,tiled,32768,63.717136,1.562500,4.687500,73.567,0xc32478af63ed1e97
kib100,102400,2048,16384,tiled,65536,66.601734,1.562500,4.687500,70.381,0xc32478af63ed1e97
kib100,102400,2048,16384,tiled,131072,66.372447,1.562500,4.687500,70.624,0xc32478af63ed1e97
kib100,102400,2048,16384,tiled,262144,66.466129,1.562500,4.687500,70.525,0xc32478af63ed1e97
kib100,102400,2048,16384,tiled,524288,66.364445,1.562500,4.687500,70.633,0xc32478af63ed1e97
mib1,1048576,256,2048,untiled,0,80.291109,2.000000,6.000000,74.728,0x3259e973915ab4e7
mib1,1048576,256,2048,tiled,16384,38.411800,2.000000,6.000000,156.202,0x3259e973915ab4e7
mib1,1048576,256,2048,tiled,32768,39.563209,2.000000,6.000000,151.656,0x3259e973915ab4e7
mib1,1048576,256,2048,tiled,65536,39.504841,2.000000,6.000000,151.880,0x3259e973915ab4e7
mib1,1048576,256,2048,tiled,131072,49.441005,2.000000,6.000000,121.357,0x3259e973915ab4e7
mib1,1048576,256,2048,tiled,262144,67.157064,2.000000,6.000000,89.343,0x3259e973915ab4e7
mib1,1048576,256,2048,tiled,524288,74.930870,2.000000,6.000000,80.074,0x3259e973915ab4e7
