case,block_bytes,recovery_blocks,input_blocks,ops,mode,tile_bytes,median_ms,logical_gib,memory_gib_3stream,gib_per_s,checksum
oplog_N128_bb1280_full,1280,165,128,4125,untiled,0,0.058037,0.004915,0.014745,254.062,0x8c08d158d46a7cbe
oplog_N128_bb1280_full,1280,165,128,4125,tiled,256,0.097257,0.004915,0.014745,151.609,0x8c08d158d46a7cbe
oplog_N128_bb1280_full,1280,165,128,4125,tiled,512,0.081734,0.004915,0.014745,180.402,0x8c08d158d46a7cbe
oplog_N128_bb102400_full,102400,165,128,4172,untiled,0,6.166856,0.397682,1.193047,193.461,0x2b85f5b00d9e2056
oplog_N128_bb102400_full,102400,165,128,4172,tiled,4096,5.141537,0.397682,1.193047,232.041,0x2b85f5b00d9e2056
oplog_N128_bb102400_full,102400,165,128,4172,tiled,8192,5.230261,0.397682,1.193047,228.105,0x2b85f5b00d9e2056
oplog_N128_bb102400_full,102400,165,128,4172,tiled,16384,5.001966,0.397682,1.193047,238.516,0x2b85f5b00d9e2056
oplog_N128_bb102400_full,102400,165,128,4172,tiled,32768,5.684247,0.397682,1.193047,209.886,0x2b85f5b00d9e2056
oplog_N128_bb102400_full,102400,165,128,4172,tiled,65536,6.057861,0.397682,1.193047,196.942,0x2b85f5b00d9e2056
oplog_N128_bb1048576_full,1048576,165,128,4157,untiled,0,127.199982,4.057617,12.172852,95.699,0x76ec6eb01a93f595
oplog_N128_bb1048576_full,1048576,165,128,4157,tiled,4096,72.711670,4.057617,12.172852,167.413,0x76ec6eb01a93f595
oplog_N128_bb1048576_full,1048576,165,128,4157,tiled,8192,68.985492,4.057617,12.172852,176.455,0x76ec6eb01a93f595
oplog_N128_bb1048576_full,1048576,165,128,4157,tiled,16384,66.934153,4.057617,12.172852,181.863,0x76ec6eb01a93f595
oplog_N128_bb1048576_full,1048576,165,128,4157,tiled,32768,69.943218,4.057617,12.172852,174.039,0x76ec6eb01a93f595
oplog_N128_bb1048576_full,1048576,165,128,4157,tiled,65536,70.498297,4.057617,12.172852,172.669,0x76ec6eb01a93f595
oplog_N128_bb1048576_full,1048576,165,128,4157,tiled,131072,72.673563,4.057617,12.172852,167.500,0x76ec6eb01a93f595
oplog_N128_bb1048576_full,1048576,165,128,4157,tiled,262144,89.802548,4.057617,12.172852,135.551,0x76ec6eb01a93f595
oplog_repro_N64_bb102400_partial,102400,90,64,1910,untiled,0,2.935444,0.181961,0.545883,185.963,0x0652fad3d50dfb18
oplog_repro_N64_bb102400_partial,102400,90,64,1910,tiled,4096,2.639276,0.181961,0.545883,206.831,0x0652fad3d50dfb18
oplog_repro_N64_bb102400_partial,102400,90,64,1910,tiled,8192,2.637874,0.181961,0.545883,206.941,0x0652fad3d50dfb18
oplog_repro_N64_bb102400_partial,102400,90,64,1910,tiled,16384,2.729243,0.181961,0.545883,200.013,0x0652fad3d50dfb18
oplog_repro_N64_bb102400_partial,102400,90,64,1910,tiled,32768,3.113613,0.181961,0.545883,175.321,0x0652fad3d50dfb18
oplog_repro_N64_bb102400_partial,102400,90,64,1910,tiled,65536,2.834793,0.181961,0.545883,192.565,0x0652fad3d50dfb18
